r_x,r_y,l_x,l_y,prescription
96,71,73,57,0
95,71,74,64,0
98,68,75,56,0
95,70,74,64,0
91,72,75,62,0
91,67,63,65,0
90,70,68,65,0
91,72,65,65,0
92,68,71,64,0
84,68,56,63,0
83,71,54,61,0
78,69,58,63,0
105,71,73,63,0
106,71,82,64,0
105,73,83,61,0
99,68,84,64,0
91,68,77,65,0
66,62,53,62,0
84,71,54,63,0
78,67,55,62,0
77,69,59,57,0
85,67,65,61,0
88,67,67,64,0
87,68,64,62,0
97,73,63,60,0
97,71,81,60,0
98,72,75,60,0
97,72,77,63,0
102,71,77,63,0
99,71,83,58,0
99,71,79,62,0
89,72,68,62,0
86,72,68,60,0
88,71,67,60,0
90,70,69,59,0
88,67,63,64,0
84,69,64,62,0
80,67,59,64,0
88,72,62,60,0
102,71,79,61,0
100,69,79,70,0
95,71,65,61,0
96,67,82,59,0
91,70,79,60,0
102,70,79,62,0
107,68,82,61,0
96,72,81,65,0
90,68,81,61,0
77,68,85,64,0
86,73,55,64,0
87,74,66,66,0
87,72,67,67,0
88,73,67,66,0
97,73,80,65,0
96,74,77,66,0
97,74,76,69,0
94,74,77,67,0
127,65,76,67,0
80,67,58,62,0
79,70,59,62,0
89,72,71,66,0
98,71,89,64,0
92,68,76,63,0
92,72,67,66,0
81,72,62,64,0
81,66,59,64,0
93,75,61,66,0
89,70,72,66,0
84,71,64,64,0
85,72,65,64,0
86,71,67,65,0
97,57,63,62,0
92,66,64,60,0
93,60,66,56,0
91,58,69,56,0
86,64,61,60,0
100,67,67,53,0
94,76,77,54,0
85,74,65,66,0
78,71,54,65,0
77,69,55,63,0
110,70,89,60,0
107,78,91,60,0
114,73,89,64,0
106,73,90,63,0
106,74,90,64,0
103,64,84,56,0
91,64,60,54,0
74,68,67,58,0
101,71,57,61,0
105,72,82,63,0
98,73,78,63,0
104,66,75,59,0
92,68,81,63,0
84,68,63,64,0
83,68,53,64,0
90,70,57,64,0
88,70,69,70,0
91,71,67,61,0
105,69,70,65,0
100,69,77,64,0
100,70,80,62,0
86,69,68,64,0
85,68,58,62,0
91,68,60,61,0
93,68,68,64,0
100,70,76,64,0
102,69,73,62,0
92,68,78,64,0
93,67,59,63,0
91,67,62,62,0
91,68,66,63,0
89,72,55,64,0
95,63,64,60,0
81,60,60,62,0
94,65,54,60,0
93,66,62,59,0
95,63,67,57,0
101,61,75,52,0
100,62,70,54,0
93,70,72,55,0
84,67,62,63,0
92,69,63,68,0
93,68,63,62,0
99,62,65,61,0
94,66,58,61,0
84,64,59,57,0
86,63,56,57,0
87,66,58,57,0
92,68,56,58,0
87,67,63,61,0
92,70,69,64,0
101,70,59,62,0
88,65,73,60,0
78,64,54,59,0
88,66,53,60,0
94,64,70,57,0
92,60,67,58,0
97,63,58,60,0
91,61,65,57,0
96,67,60,57,0
83,71,64,58,0
81,68,67,65,0
90,68,58,59,0
91,70,58,68,0
90,68,64,67,0
91,67,63,66,0
116,66,63,61,0
108,67,83,63,0
103,66,82,60,0
87,65,81,62,0
105,67,83,58,0
95,68,78,61,0
88,66,56,62,0
94,69,73,61,0
94,71,64,61,0
81,73,64,61,0
98,67,62,66,0
98,68,70,63,0
94,68,67,61,0
93,71,63,60,0
94,67,63,64,0
95,74,64,62,0
95,73,66,68,0
94,74,68,66,0
95,73,65,67,0
96,65,68,65,0
96,70,63,62,0
96,73,65,60,0
100,64,68,67,0
103,71,59,65,0
86,68,77,65,0
86,68,55,61,0
104,70,53,61,0
107,70,68,63,0
78,69,47,60,0
90,64,55,59,0
90,69,65,59,0
100,65,76,60,0
104,60,73,58,0
84,66,72,61,0
87,65,51,58,0
99,62,66,56,0
76,64,58,59,0
91,65,59,58,0
100,69,59,63,0
86,67,63,64,0
91,70,61,63,0
90,70,57,56,0
95,69,63,65,0
90,71,63,62,0
95,64,61,62,0
93,70,61,65,0
94,71,60,64,0
94,71,62,64,0
97,68,64,62,0
98,73,71,62,0
99,66,66,61,0
102,63,72,58,0
98,73,65,56,0
101,66,66,60,0
100,64,66,65,0
97,67,67,68,0
104,64,67,61,0
101,63,71,59,0
97,74,68,60,0
97,66,68,63,0
101,75,70,68,0
