r_x,r_y,l_x,l_y,prescription
107,43,70,31,0
92,41,55,34,0
95,44,52,38,0
93,41,53,37,0
92,51,54,46,0
104,61,63,44,0
118,54,68,46,0
120,53,76,42,0
113,55,65,41,0
107,50,60,43,0
101,49,61,43,0
100,48,63,38,0
102,49,78,33,0
101,48,64,42,0
112,36,60,37,0
97,47,68,39,0
93,45,65,38,0
85,44,62,41,0
86,44,56,43,0
90,46,50,43,0
107,51,62,40,0
122,42,81,28,0
125,43,80,28,0
105,48,80,29,0
120,47,80,35,0
124,43,81,34,0
94,32,67,34,0
103,48,72,40,0
103,48,75,25,0
95,45,57,42,0
94,46,62,40,0
115,48,72,37,0
100,47,75,36,0
93,45,56,39,0
117,46,63,37,0
117,50,71,39,0
120,37,78,36,0
95,41,75,30,0
101,40,63,34,0
102,39,54,34,0
96,41,63,36,0
96,38,59,35,0
119,46,64,33,0
124,41,69,34,0
120,38,78,34,0
116,48,74,36,0
98,46,76,35,0
97,46,59,41,0
92,43,62,40,0
97,45,56,41,0
95,45,60,40,0
116,46,58,43,0
111,46,71,37,0
114,47,77,34,0
113,44,70,38,0
113,46,75,32,0
93,43,59,41,0
94,41,74,38,0
106,46,72,36,0
112,45,70,38,0
112,46,70,36,0
123,46,74,37,0
113,50,75,37,0
114,49,75,37,0
88,40,75,38,0
94,44,53,40,0
99,44,56,39,0
97,42,61,38,0
104,46,60,36,0
95,47,69,38,0
90,42,59,39,0
95,37,46,38,0
95,42,48,34,0
100,45,57,39,0
100,52,70,41,0
102,52,67,46,0
116,51,75,41,0
104,50,69,39,0
102,48,67,43,0
111,48,76,38,0
112,53,74,39,0
115,45,74,40,0
103,48,75,40,0
104,48,66,44,0
101,48,69,42,0
95,50,61,45,0
101,46,63,44,0
93,46,62,46,0
95,50,62,45,0
107,48,61,42,0
116,42,69,42,0
111,39,76,31,0
105,39,75,31,0
106,39,66,34,0
106,37,78,34,0
117,43,81,32,0
91,39,66,35,0
94,36,52,35,0
93,38,55,35,0
91,38,53,38,0
95,38,54,37,0
109,41,70,37,0
108,44,68,37,0
104,43,67,37,0
97,42,68,36,0
96,43,52,38,0
85,43,61,43,0
83,44,55,43,0
104,45,68,44,0
114,48,69,43,0
116,47,73,43,0
96,45,63,44,0
91,44,68,41,0
93,48,67,43,0
102,47,59,45,0
113,48,80,39,0
114,48,81,39,0
118,47,82,37,0
113,48,74,40,0
115,50,82,38,0
113,49,81,40,0
123,47,80,39,0
114,51,77,41,0
83,43,55,49,0
91,47,52,47,0
82,41,47,47,0
87,38,47,44,0
86,36,47,36,0
113,38,77,35,0
124,44,79,34,0
108,47,84,34,0
87,48,66,49,0
98,48,55,48,0
98,50,68,38,0
96,52,64,50,0
95,53,68,49,0
106,51,72,49,0
108,46,72,48,0
93,45,62,45,0
113,44,64,44,0
120,43,73,38,0
112,47,81,40,0
80,41,67,44,0
80,38,55,48,0
84,45,48,49,0
86,44,51,48,0
87,44,52,50,0
85,43,55,54,0
80,40,44,50,0
84,42,48,51,0
83,44,53,51,0
84,44,47,53,0
82,43,44,50,0
118,50,83,43,0
130,42,74,44,0
118,45,85,41,0
136,44,86,41,0
127,44,81,41,0
124,50,80,41,0
126,46,83,44,0
99,45,64,46,0
104,50,77,47,0
93,48,66,50,0
107,49,59,52,0
96,48,66,44,0
109,48,62,51,0
112,51,78,44,0
111,53,77,48,0
118,52,79,49,0
118,47,75,44,0
118,45,84,40,0
105,52,81,41,0
116,52,72,46,0
100,51,65,50,0
88,42,63,48,0
112,41,81,37,0
118,43,81,37,0
116,47,79,41,0
113,52,78,46,0
116,51,78,46,0
85,42,77,46,0
94,47,59,48,0
113,47,62,50,0
112,47,76,43,0
108,41,74,41,0
91,45,74,42,0
87,44,54,48,0
100,50,62,54,0
100,52,77,46,0
115,48,71,48,0
113,43,72,42,0
125,49,84,38,0
123,44,74,45,0
114,46,83,37,0
125,47,83,38,0
123,48,81,40,0
87,41,77,44,0
86,43,51,47,0
86,44,48,49,0
86,44,49,51,0
88,43,51,50,0
89,44,53,47,0
119,49,49,44,0
118,51,79,42,0
118,52,79,40,0
109,44,79,42,0
124,44,82,40,0
124,45,82,36,0
97,47,72,45,0
101,50,68,45,0
96,48,59,50,0
100,48,62,50,0
97,48,69,48,0
94,48,60,48,0
123,44,84,36,0
98,46,72,43,0
99,47,64,46,0
115,48,74,40,0
110,49,80,40,0
111,51,81,39,0
96,43,63,45,0
104,51,71,51,0
106,51,65,50,0
107,44,61,50,0
111,51,78,45,0
